track_id,first_frame,last_frame,first_time_s,last_time_s,detections,conf_mean,conf_max,area_mean,rep_frame,rep_time_s,rep_conf,rep_x1,rep_y1,rep_x2,rep_y2
206,154,208,5.1342402826855125,6.934558303886925,44,0.44225851039994846,0.6662485003471375,93871.84090909091,206,6.867879858657243,0.6662485003471375,909,664,1079,1063
212,162,191,5.400954063604241,6.367791519434629,10,0.3656516015529633,0.57054603099823,98954.1,190,6.334452296819788,0.57054603099823,907,761,1079,1070
217,166,235,5.534310954063605,7.834717314487633,69,0.7292226816433064,0.9160585999488831,189005.59420289856,210,7.001236749116607,0.9160585999488831,263,638,721,1269
236,188,204,6.267773851590106,6.801201413427561,8,0.35492871329188347,0.4236355423927307,68942.75,196,6.534487632508834,0.4236355423927307,543,658,771,958
238,188,239,6.267773851590106,7.968074204946997,42,0.6388886052937734,0.8408746123313904,854134.5476190476,227,7.568003533568905,0.8408746123313904,3,800,1079,1912
251,222,247,7.4013074204947,8.234787985865724,21,0.5581531127293905,0.8426193594932556,90725.42857142857,244,8.134770318021202,0.8426193594932556,838,553,1079,918
253,236,267,7.868056537102474,8.901572438162544,32,0.7711084904149175,0.8682430386543274,323599.40625,242,8.06809187279152,0.8682430386543274,92,545,350,1483
254,239,246,7.968074204946997,8.201448763250884,8,0.6865357719361782,0.8656992316246033,54923.875,241,8.034752650176678,0.8656992316246033,886,835,1058,1122
256,243,244,8.10143109540636,8.134770318021202,2,0.5535597801208496,0.5862583518028259,214089.0,243,8.10143109540636,0.5862583518028259,476,1546,1078,1919
262,270,270,9.001590106007066,9.001590106007066,1,0.4992159307003021,0.4992159307003021,39204.0,270,9.001590106007066,0.4992159307003021,958,837,1079,1161
